chr	start	end	cid	pid	abundance	methylpat
1	757121	757618	1	11	0.0245985	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:M,145:M,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:U,253:U,258:U,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:U,384:U,386:U,387:U,388:U,391:M,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:M,488:U	0,84,93,183,197,201,207,215,226,236,249,262,266,358,361,365,383,391,421,429,435,442,546,549,560,573,582,590
1	757121	757620	1	12	0.0235994	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:U,253:U,258:U,261:U,263:U,270:U,278:U,282:U,285:U,295:M,297:M,310:M,316:M,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:M,423:M,428:M,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	1,39,45,55,64,78,88,99,106,110,119,214,224,228,239,248,261,277,287,295,300,304,391,421,441,452,474,478,482,489,491,494,499,514,535,543,548,572,591,600
1	757121	757618	1	13	0.0197723	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:U,98:U,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:U,282:U,285:U,295:U,297:U,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:M,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:M,488:U	1,43,137,138,146,149,165,167,183,197,201,207,215,278,285,378,382,387,397,410,417,433,437,443,454,473,479,481,488,492,582,590
1	757121	757618	1	14	0.0196824	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:M,140:M,145:M,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:U,253:U,258:U,261:U,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:U,366:U,378:U,384:U,386:U,387:U,388:U,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:M,488:U	0,84,165,167,183,197,201,207,215,226,236,249,262,266,273,361,365,369,371,376,384,388,392,411,414,509,513,534,539,544,549,560,573,582,590
1	757121	757618	1	15	0.0182489	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:U,258:U,261:U,263:U,270:U,278:U,282:U,285:U,295:U,297:U,310:U,316:U,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:M,384:M,386:U,387:U,388:U,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	1,39,45,55,64,78,88,99,106,110,209,214,224,234,235,252,327,334,342,351,357,370,372,375,379,385,395,409,413,430,432,438,539,544,549,561,574,584,592
1	757121	757620	1	16	0.0179264	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:M,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:U,258:U,261:U,263:U,270:U,278:U,282:U,285:U,295:U,297:U,310:U,316:M,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:U,384:U,386:U,387:U,388:U,391:U,409:U,410:U,418:M,423:M,428:M,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	0,47,54,65,78,88,99,106,110,119,126,224,234,235,252,327,334,435,442,456,475,484,572,591,600
1	757121	757620	1	17	0.0169267	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:U,140:U,145:U,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:U,253:U,258:U,261:U,263:U,270:U,278:U,282:U,285:M,295:M,297:M,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:M,409:U,410:U,418:U,423:U,428:M,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	2,40,44,47,54,65,78,89,104,201,207,215,226,236,249,262,266,273,277,287,295,300,388,392,411,414,431,439,445,455,476,483,487,497,591,600
1	757121	757618	1	18	0.0164691	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:U,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:U,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:M,366:M,378:U,384:U,386:U,387:U,388:U,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	0,47,54,65,78,88,99,106,204,209,214,224,234,235,252,259,267,274,278,285,296,301,315,410,417,513,534,539,544,549,561,574,584,592
1	757121	757618	1	19	0.0132212	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:U,176:U,193:U,212:M,215:M,223:M,233:U,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:U,316:U,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:M,384:U,386:U,387:U,388:U,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	1,39,45,55,64,78,89,104,112,118,131,140,145,153,249,325,413,430,432,534,539,544,549,561,574,584,592
1	757121	757618	1	20	0.0131901	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:M,145:M,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:U,278:U,282:U,285:U,295:U,297:U,310:M,316:M,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	1,43,63,84,93,183,197,201,207,215,278,366,421,441,544,549,561,574,584,592
1	757121	757618	1	21	0.0127107	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:U,145:M,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:U,253:U,258:U,261:U,263:U,270:U,278:U,282:U,285:U,295:U,297:U,310:U,316:U,336:U,338:U,342:U,344:M,350:M,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:M,423:M,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	1,43,63,84,93,103,197,201,207,215,226,236,249,262,266,273,277,287,295,300,304,314,327,334,342,351,357,370,372,375,479,481,488,492,493,592
1	757121	757618	1	22	0.0109968	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:U,297:U,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:U,366:U,378:M,384:U,386:U,387:U,388:U,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	0,84,93,103,105,114,122,125,133,136,144,148,158,169,184,195,204,209,214,224,234,235,252,259,267,274,278,285,296,301,397,414,431,534,539,544,549,561,574,584,592
1	757121	757618	1	23	0.010958	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:U,116:U,122:U,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:U,297:U,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	2,40,44,47,54,148,158,169,184,195,204,209,214,224,234,235,252,259,267,274,278,285,296,301,397,410,417,433,437,443,544,549,561,574,584,592
1	757121	757618	1	24	0.0100656	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:U,253:U,258:U,261:U,263:U,270:U,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:M,338:M,342:U,344:U,350:U,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	1,39,45,55,64,78,88,99,106,110,119,126,129,137,138,146,149,165,167,183,197,201,207,215,226,236,249,262,266,273,277,287,371,474,478,482,574,584,592
1	757121	757618	1	25	0.00902279	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:U,145:U,149:M,155:M,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:U,316:U,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:M,384:M,386:U,387:U,388:U,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	1,43,63,84,93,103,105,201,207,215,278,285,296,301,315,318,325,413,430,432,438,539,544,549,561,574,584,592
1	757121	757618	1	26	0.00885679	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:U,270:U,278:U,282:U,285:U,295:U,297:U,310:M,316:M,336:M,338:M,342:M,344:M,350:U,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:M,423:M,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	0,47,54,65,78,88,99,106,110,209,214,224,234,235,252,259,267,274,362,366,378,382,482,489,491,494,592
1	757121	757618	1	27	0.00881308	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:U,104:U,110:U,116:U,122:U,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:M,253:M,258:M,261:U,263:U,270:U,278:U,282:U,285:U,295:U,297:U,310:U,316:U,336:U,338:U,342:U,344:U,350:M,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	2,40,133,136,144,148,158,169,184,195,204,209,214,224,234,235,252,259,267,357,370,372,375,379,481,574,584,592
1	757121	757618	1	28	0.00799794	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:U,253:U,258:U,261:U,263:U,270:M,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:U,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	2,40,44,47,54,65,78,88,99,106,110,119,214,224,228,239,248,261,277,365,369,371,376,384,388,392,411,414,431,439,445,544,549,561,574,584,592
1	757121	757620	1	29	0.0075357	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:U,253:U,258:U,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:U,338:U,342:U,344:U,350:U,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:M,423:M,428:M,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	1,39,45,55,64,78,89,104,112,118,131,140,145,153,169,184,195,204,209,214,224,228,239,248,261,358,361,365,383,391,492,493,500,514,535,543,548,572,591,600
1	757121	757618	1	30	0.00533223	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:M,163:U,169:U,176:U,193:M,212:M,215:M,223:M,233:U,253:U,258:U,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	0,47,54,65,78,88,99,106,110,119,126,224,228,239,248,261,358,361,365,383,391,421,441,452,474,478,482,574,584,592
1	757121	757620	1	31	0.00521227	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:U,145:U,149:U,155:U,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:U,310:U,316:U,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:U,384:U,386:U,387:U,388:U,391:U,409:M,410:M,418:M,423:M,428:M,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	0,84,93,103,105,114,122,215,278,285,296,301,315,409,413,442,456,548,572,591,600
1	757121	757620	1	32	0.00473433	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:M,110:M,116:M,122:M,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:U,176:U,193:U,212:M,215:M,223:M,233:U,253:U,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:U,366:U,378:M,384:M,386:M,387:M,388:M,391:M,409:U,410:U,418:U,423:U,428:U,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	2,40,44,47,54,65,78,89,104,112,118,131,140,145,153,249,262,353,358,361,365,369,371,376,384,388,392,411,414,431,439,445,455,476,483,487,497,498,600
1	757121	757618	1	33	0.00454448	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:M,98:M,104:U,110:U,116:U,122:U,132:U,140:U,145:U,149:U,155:U,160:U,163:U,169:M,176:M,193:M,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:M,310:U,316:U,336:U,338:U,342:U,344:U,350:U,365:U,366:U,378:U,384:U,386:U,387:U,388:U,391:M,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:M,488:U	0,47,136,229,237,252,259,267,274,278,285,296,301,315,318,325,413,442,546,549,560,573,582,590
1	757121	757618	1	34	0.00425797	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U,96:U,98:U,104:U,110:U,116:U,122:U,132:U,140:U,145:U,149:U,155:U,160:M,163:M,169:M,176:M,193:U,212:M,215:M,223:M,233:M,253:M,258:M,261:M,263:M,270:M,278:M,282:M,285:M,295:M,297:U,310:M,316:M,336:M,338:M,342:M,344:M,350:M,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:M,409:U,410:U,418:U,423:U,428:U,436:U,437:U,447:U,456:U,458:U,459:U,460:U,461:U,471:U,488:M	0,84,93,103,105,114,122,215,278,285,296,301,315,410,417,433,437,443,454,515,532,546,549,561,574,584,592
1	757121	757620	1	35	0.00418339	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U,96:U,98:U,104:M,110:M,116:M,122:M,132:M,140:M,145:M,149:M,155:M,160:M,163:M,169:M,176:U,193:M,212:M,215:M,223:M,233:M,253:M,258:U,261:U,263:U,270:U,278:U,282:U,285:U,295:U,297:U,310:U,316:U,336:U,338:U,342:U,344:M,350:M,365:M,366:M,378:M,384:M,386:M,387:M,388:M,391:M,409:M,410:M,418:M,423:M,428:M,436:M,437:M,447:M,456:M,458:M,459:M,460:M,461:M,471:M,488:M	1,43,137,138,146,235,252,259,351,357,370,372,375,479,481,488,492,493,500,514,535,543,548,572,591,600
